Reference	Value	Footprint	Qty	Manufacturer	Manufacturer Part Number
C5,C6	47u	Capacitor_SMD:C_1210_3225Metric	2	Murata Electronics	GRM32ER61C476KE15L
C7,C8,C14,C15,C16,C17,C18,C19,C20,C23,C24,C28,C31,C32,C33,C37,C38,C39,C40,C41,C52	10u	Capacitor_SMD:C_1210_3225Metric	21	Murata Electronics	GRM32EC72A106KE05L
C21,C25	47n	Capacitor_SMD:C_0402_1005Metric	2	Murata Electronics	GRM155R71H473KE14D
C22,C26,C27,C29,C30	1u	Capacitor_SMD:C_0402_1005Metric	5	Murata Electronics	GRM155R61H105KE05D
C34,C35,C36,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C53,C54,C55,C56	100n	Capacitor_SMD:C_0402_1005Metric	17	Murata Electronics	GRM155R62A104ME14D
C58,C73,C74	1n	Capacitor_SMD:C_0402_1005Metric	3	Murata Electronics	GRM155R71H102KA01D
CN1	DB141R-2.54-2P	main_board:DB141R-2.54-2P-GN	1	DORABO(地博电气)	DB141R-2.54-2P-GN
CN3	KF202-5.0-3P	main_board:KF202-5.0-3P	1	KEFA(科发)	KF202-5.0-3P
D3	TPD4E02B04	main_board:TPD4E02B04	1	Texas Instruments	TPD4E02B04DQAR
D4	BZT52C10	main_board:BZT52C10	1	Vishay Intertech	BZT52C10-E3-08
L1	IHLP2525CZER8R2M01	main_board:IHLP2525CZER8R2M01	1	Vishay Intertech	IHLP2525CZER8R2M01
L2	VLS6045AF-4R7M	main_board:VLS6045AF-4R7M	1	TDK	VLS6045AF-4R7M
R11,R13	100k	Resistor_SMD:R_0402_1005Metric	2	YAGEO	RC0402FR-07100KL
R12	422k	Resistor_SMD:R_0402_1005Metric	1	YAGEO	RC0402FR-07422KL
R17,R21,R34,R37,R38,R39,R40,R41,R42,R43	10k	Resistor_SMD:R_0402_1005Metric	10	YAGEO	RC0402FR-0710KL
R18,R19	120	Resistor_SMD:R_0402_1005Metric	2	Vishay Intertech	CRCW0603120RFKEAHP
R25	30k9	Resistor_SMD:R_0402_1005Metric	1	YAGEO	RC0402FR-0730K9L
R28,R29,R30	2m	Resistor_SMD:R_0612_1632Metric	3	prosemi	MLR06A1R002F2
R31,R32,R33	22r	Resistor_SMD:R_0402_1005Metric	3	YAGEO	RC0402FR-0722RL
R35,R36	22k1	Resistor_SMD:R_0402_1005Metric	2	YAGEO	RC0402FR-0722K1L
S1,S2	TS-1088-AR02016	main_board:TS-1088-AR02016	2	XUNPU	TS-1088-AR02016
U1	HUSB238A-BB001-QN16R	main_board:HUSB238A-BB001-QN16R	1	Hynetek	HUSB238A-BB001-QN16R
U2	LMR51420YDD	main_board:LMR51420YDD	1	Texas Instruments	LMR51420YDDCR
U3	TPS62933DRL	main_board:TPS62933DRL	1	Texas Instruments	TPS62933DRLR
U5	~	main_board:AON7409	1	TECH PUBLIC	AON7409
U6	ESP32-S3-WROOM-1	main_board:ESP32-S3-WROOM-1	1	Espressif Systems	ESP32-S3-WROOM-1
U7	STM32G474VEH6	main_board:STM32G474VEH6	1	STMicroelectronics	STM32G474VEH6
U8	DRV8323SRTA	main_board:DRV8323SRTA	1	Texas Instruments	DRV8323SRTA
U9	AFD01-S35FCA-00	main_board:AFD01-S35FCA-00	1	JS(钜硕电子)	AFD01-S35FCA-00
U10,U18	TJA1051TK/3	main_board:TJA1051TK_3	2	NXP Semicon	TJA1051TK/3
U11,U13,U14,U15,U16,U17	NTTFS5C454NL	main_board:NTTFS5C454NL	6	onsemi	NTTFS5C454NL
U12,U19,U20,U21	~	main_board:XL-1005UOC	4	XINGLIGHT	XL-1005UOC
USB1	GT-USB-7004N	main_board:GT-USB-7004N	1	G-Switch(品赞)	GT-USB-7004N
